tucaseid,tuactivity_n,wufnactwt,wufnactwtc,wufnactwtp,wuhapord,wuhappy,wuinteract,wumeaning,wupain,wupnord,wusad,wusadord,wustress,wustrord,wutired,wutrdord,tewhere,trtcctot_ln,trtcc_ln,trtcoc_ln,trthh_ln,trtnohh_ln,trtohh_ln,trtonhh_ln,trto_ln,trwbelig,tuactdur,tuactdur24,tucc5,tucc5b,tucc7,tucc8,tucumdur,tucumdur24,tustarttim,tustoptime,tutier1code,tutier2code,tutier3code,trcode,trtier2,txwhere,trtec_ln,tudurstop,tuec24,teage,tesex,telfs,is_alone,activity_6d,activity_group,social_context
20130112121578,16,7957404.858724,17658228.797966,7426911.201475,1,5,1,5,3,5,0,4,0,3,1,2,1,0,-1,0,-1,-1,-1,-1,-1,1,60,60,0,0,0,0,1100,1100,21:20:00,22:20:00,12,3,8,120308,1203,0,-1.0,1.0,-1.0,54,2,1,True,120308,Screen-Based,Alone
20121211120696,8,3578506.309265,4203502.103896,2862805.047412,5,4,2,6,0,1,0,4,3,2,5,3,1,0,0,0,0,0,-1,-1,-1,1,133,133,0,0,0,0,720,720,13:47:00,16:00:00,12,3,3,120303,1203,0,-1.0,2.0,-1.0,16,1,5,False,120303,Screen-Based,With Others
20120909122094,2,7136387.698798,8382777.090109,6116903.741827,2,6,2,0,0,1,0,4,0,5,2,3,1,0,-1,0,-1,-1,-1,-1,-1,1,90,90,0,0,0,0,450,450,10:00:00,11:30:00,12,3,3,120303,1203,0,-1.0,2.0,-1.0,29,1,1,True,120303,Screen-Based,Alone
20120403121052,4,8506027.176608,8151945.139484,7442773.779532,2,3,2,5,6,3,6,5,6,4,6,1,1,0,-1,0,-1,-1,-1,-1,-1,1,345,345,0,0,0,0,570,570,07:45:00,13:30:00,12,3,1,120301,1203,0,-1.0,2.0,-1.0,80,2,5,False,120301,Non-Screen,With Others
20121009122067,3,20249203.013647,19406285.526513,18561769.429177,1,5,1,3,0,3,2,5,2,4,3,2,1,0,-1,0,-1,-1,-1,-1,-1,1,120,120,0,0,0,0,334,334,07:34:00,09:34:00,12,3,8,120308,1203,0,-1.0,1.0,-1.0,60,2,5,True,120308,Screen-Based,Alone
20120605120868,4,16165161.837879,18988451.024782,14144516.608144,1,6,2,6,0,3,0,2,0,5,6,4,1,120,120,0,120,-1,120,-1,120,1,120,120,0,0,0,0,680,680,13:20:00,15:20:00,12,3,3,120303,1203,0,-1.0,1.0,-1.0,40,2,5,False,120303,Screen-Based,With Others
20100604100816,11,5514917.531705,6491139.282403,5013561.392459,5,5,1,6,0,3,0,1,0,4,4,2,1,0,-1,0,-1,-1,-1,-1,-1,1,120,120,0,0,0,0,1080,1080,20:00:00,22:00:00,12,3,3,120303,1203,0,,,,48,1,1,False,120303,Screen-Based,With Others
20120605121119,5,2063607.817286,1977705.615871,1926033.9628,2,6,1,6,0,1,0,4,0,3,0,5,1,0,-1,0,-1,-1,-1,-1,-1,1,90,90,0,0,0,0,465,465,10:15:00,11:45:00,12,3,1,120301,1203,0,-1.0,1.0,-1.0,61,2,5,True,120301,Non-Screen,Alone
20121211121561,5,4273480.17587,5019855.03385,3988581.497478,3,2,2,5,0,5,4,4,4,1,1,2,1,0,-1,0,-1,-1,-1,-1,-1,1,180,180,0,0,0,0,530,530,09:50:00,12:50:00,12,3,3,120303,1203,0,-1.0,1.0,-1.0,71,2,1,False,120303,Screen-Based,With Others
20121010120863,18,25028690.392084,29400018.786751,24386929.099979,1,4,1,2,6,5,0,3,0,4,5,2,1,0,-1,0,-1,-1,-1,-1,-1,1,54,54,0,0,0,0,360,360,09:06:00,10:00:00,12,3,3,120303,1203,0,-1.0,2.0,-1.0,44,2,5,True,120303,Screen-Based,Alone
20101110102500,4,42707586.791242,50267459.609969,38825078.901129,4,6,2,1,0,1,0,2,0,5,5,3,1,0,-1,0,-1,-1,-1,-1,-1,1,115,115,0,0,0,0,690,690,13:35:00,15:30:00,12,3,3,120303,1203,0,,,,41,2,1,True,120303,Screen-Based,Alone
20131009131629,2,13820407.449327,13820407.449327,13820407.449327,2,4,2,5,5,1,4,4,5,3,5,5,1,0,-1,0,-1,-1,-1,-1,-1,1,250,250,0,0,0,0,550,550,09:00:00,13:10:00,12,3,3,120303,1203,0,-1.0,2.0,-1.0,59,1,5,False,120303,Screen-Based,With Others
20100505101574,3,2290458.415132,2695903.339932,1963250.070113,5,6,1,6,0,3,0,2,0,1,2,4,1,0,-1,0,-1,-1,-1,-1,-1,1,60,60,0,0,0,0,540,540,12:00:00,13:00:00,12,3,3,120303,1203,0,,,,34,1,1,False,120303,Screen-Based,With Others
20130201131134,3,4448954.204649,4669703.082898,3559163.363719,2,6,1,6,0,5,0,3,0,4,0,1,1,178,178,0,178,-1,178,-1,178,1,178,178,1,0,0,0,480,480,09:02:00,12:00:00,12,3,7,120307,1203,0,-1.0,2.0,-1.0,31,1,1,False,120307,Screen-Based,With Others
20100808102527,23,12664341.313252,14906116.530595,12061277.441192,4,6,2,6,0,1,0,2,0,3,5,5,1,0,-1,0,-1,-1,-1,-1,-1,1,50,50,0,0,0,0,1020,1020,20:10:00,21:00:00,12,3,3,120303,1203,0,,,,72,2,5,True,120303,Screen-Based,Alone
20100706100608,20,26193182.612912,30829762.296968,24814594.054338,4,3,2,2,0,3,0,2,0,1,2,5,1,0,-1,0,-1,-1,-1,-1,-1,1,211,211,0,0,0,0,1080,1080,18:29:00,22:00:00,12,3,3,120303,1203,0,,,,36,1,1,False,120303,Screen-Based,With Others
20101110101082,10,3109084.271835,3659438.048382,2901811.987046,2,4,2,4,1,5,1,1,3,4,3,3,1,0,-1,0,-1,-1,-1,-1,-1,1,30,30,0,0,0,0,663,663,14:33:00,15:03:00,12,3,3,120303,1203,0,,,,72,2,5,False,120303,Screen-Based,With Others
20100201101324,31,2850007.544618,14991622.234039,2736007.242833,3,6,1,6,0,5,0,4,0,1,4,2,1,0,0,0,0,-1,0,-1,0,1,45,45,0,0,0,0,1120,1120,21:55:00,22:40:00,12,3,3,120303,1203,0,,,,33,1,1,False,120303,Screen-Based,With Others
20130112121443,9,3606420.92311,4153216.836403,3305885.846185,1,5,1,6,0,3,0,4,0,2,2,5,1,35,35,0,35,-1,35,-1,35,1,60,60,1,0,0,0,985,985,19:25:00,20:25:00,12,3,3,120303,1203,0,-1.0,1.0,-1.0,33,1,1,False,120303,Screen-Based,With Others
20131009132366,16,5404718.936058,5404718.936058,20931349.660494,2,4,2,2,0,5,0,3,3,4,5,1,1,0,0,0,0,-1,0,-1,0,1,120,120,0,0,0,0,1149,1149,21:09:00,23:09:00,12,3,3,120303,1203,0,-1.0,1.0,-1.0,36,2,1,True,120303,Screen-Based,Alone
20131110132128,17,23533072.991185,23533072.991185,91138685.506495,5,6,2,-2,0,2,0,1,0,3,0,4,1,0,-1,0,-1,-1,-1,-1,-1,1,130,130,0,0,0,0,1140,1140,20:50:00,23:00:00,12,3,3,120303,1203,0,-1.0,2.0,-1.0,80,2,5,False,120303,Screen-Based,With Others
20100505100652,3,27430454.216442,27430454.216442,27430454.216442,2,5,1,6,4,3,0,1,2,5,4,4,1,45,45,0,45,45,-1,-1,-1,1,45,45,0,1,0,0,405,405,10:00:00,10:45:00,12,3,3,120303,1203,0,,,,24,1,5,False,120303,Screen-Based,With Others
20130907131111,9,5270168.0949,5270168.0949,5270168.0949,2,6,2,6,0,3,0,4,0,1,0,5,1,120,120,0,120,-1,120,-1,120,1,120,120,1,0,0,0,840,840,16:00:00,18:00:00,12,3,3,120303,1203,0,-1.0,1.0,-1.0,57,1,2,True,120303,Screen-Based,Alone
20130403132377,14,1708646.520331,1708646.520331,1708646.520331,4,3,1,3,6,2,0,1,4,3,6,5,1,0,-1,0,-1,-1,-1,-1,-1,1,60,60,0,0,0,0,890,890,17:50:00,18:50:00,12,3,3,120303,1203,0,-1.0,1.0,-1.0,62,2,2,False,120303,Screen-Based,With Others
20100302100514,6,773003.971626,909837.076771,676378.475173,4,5,1,3,1,1,0,3,2,2,4,5,1,0,-1,0,-1,-1,-1,-1,-1,1,30,30,0,0,0,0,550,550,12:40:00,13:10:00,12,3,3,120303,1203,0,,,,32,1,1,False,120303,Screen-Based,With Others
20100201102462,27,3001274.359777,3532544.191644,2881223.385386,4,2,1,2,0,3,0,5,0,1,0,2,1,30,30,0,30,-1,30,-1,30,1,30,30,1,0,0,0,1080,1080,21:30:00,22:00:00,12,3,3,120303,1203,0,,,,43,1,5,False,120303,Screen-Based,With Others
20121009122136,13,8651899.20734,41465215.522303,7986368.499083,4,3,2,5,0,2,0,3,0,1,3,5,1,0,-1,0,-1,-1,-1,-1,-1,1,150,150,0,0,0,0,1145,1145,20:35:00,23:05:00,12,3,3,120303,1203,0,0.0,1.0,-1.0,85,1,5,False,120303,Screen-Based,With Others
20120807120965,16,4855731.807918,4653601.32155,4585968.929701,5,5,2,5,0,2,0,1,1,4,1,3,9,0,0,0,0,-1,0,-1,0,1,30,30,0,0,0,0,898,898,18:28:00,18:58:00,12,3,12,120312,1203,0,-1.0,1.0,-1.0,47,1,1,True,120312,Non-Screen,Alone
20130807130699,13,6402037.048646,6402037.048646,24793754.789103,5,4,2,2,4,2,4,4,3,3,5,1,1,0,-1,0,-1,-1,-1,-1,-1,1,120,120,0,0,0,0,1110,1110,20:30:00,22:30:00,12,3,3,120303,1203,0,-1.0,2.0,-1.0,76,2,5,False,120303,Screen-Based,With Others
20120604121551,19,5725360.888959,6725310.635892,5407285.284017,3,6,2,6,0,4,0,2,0,5,0,1,1,0,-1,0,-1,-1,-1,-1,-1,1,60,60,0,0,0,0,900,900,18:00:00,19:00:00,12,3,3,120303,1203,0,-1.0,1.0,-1.0,68,1,5,False,120303,Screen-Based,With Others
20120605121101,5,2547911.110719,2441848.722513,2335585.184825,3,6,2,3,0,4,0,5,0,2,0,1,1,0,-1,0,-1,-1,-1,-1,-1,1,60,60,0,0,0,0,315,315,08:15:00,09:15:00,12,3,12,120312,1203,0,-1.0,1.0,-1.0,78,2,5,False,120312,Non-Screen,With Others
20131110130055,6,6040457.94984,6040457.94984,23393434.32164,1,6,2,6,0,2,0,5,0,3,6,4,1,0,-1,0,-1,-1,-1,-1,-1,1,270,210,0,0,0,0,1500,1440,00:30:00,05:00:00,12,3,3,120303,1203,0,-1.0,2.0,-1.0,33,2,1,False,120303,Screen-Based,With Others
20130706131476,8,10576766.021402,10576766.021402,40961609.750731,4,2,1,3,2,1,2,2,2,3,2,5,1,210,210,0,210,210,-1,-1,-1,1,210,210,0,1,0,0,1200,1200,20:30:00,00:00:00,12,3,3,120303,1203,0,-1.0,2.0,-1.0,72,2,5,False,120303,Screen-Based,With Others
20100111092105,9,5385284.78437,4771516.775835,4936511.052339,5,5,1,5,0,1,0,4,1,3,1,2,1,60,60,0,60,-1,60,-1,60,1,60,60,1,0,0,0,840,840,17:00:00,18:00:00,12,3,7,120307,1203,0,,,,32,1,1,False,120307,Screen-Based,With Others
20100303101075,18,16482761.894487,19400453.87818,15766120.072987,1,5,1,4,0,2,0,3,1,5,2,4,1,0,-1,0,-1,-1,-1,-1,-1,1,45,45,0,0,0,0,725,725,15:20:00,16:05:00,12,3,3,120303,1203,0,,,,23,2,1,False,120303,Screen-Based,With Others
20100504101598,22,3703005.498176,3703005.498176,3703005.498176,1,0,2,3,0,2,0,4,0,5,0,3,1,0,-1,0,-1,-1,-1,-1,-1,1,120,120,0,0,0,0,995,995,18:35:00,20:35:00,12,3,3,120303,1203,0,,,,50,2,1,False,120303,Screen-Based,With Others
20121110122031,6,1426010.556677,1426010.556677,1426010.556677,2,3,2,6,3,3,0,1,0,4,6,5,1,0,0,0,0,-1,0,-1,0,1,60,60,1,0,0,0,1410,1410,02:30:00,03:30:00,12,3,3,120303,1203,0,-1.0,2.0,-1.0,48,1,1,True,120303,Screen-Based,Alone
20121110122273,7,11677157.192123,55964110.082148,10008991.878963,2,6,2,2,0,1,0,3,0,5,0,4,1,0,-1,0,-1,-1,-1,-1,-1,1,195,195,0,0,0,0,1140,1140,19:45:00,23:00:00,12,3,3,120303,1203,0,-1.0,2.0,-1.0,23,1,5,False,120303,Screen-Based,With Others
20100706102504,12,6402223.456124,5672553.606116,5762001.110511,4,2,1,0,0,5,2,3,1,1,4,2,1,0,-1,0,-1,-1,-1,-1,-1,1,60,60,0,0,0,0,990,990,19:30:00,20:30:00,12,3,7,120307,1203,0,,,,18,1,4,True,120307,Screen-Based,Alone
20100706101531,13,51172989.84926,60231363.87787,46908574.028488,3,5,1,2,0,2,0,1,2,5,6,4,1,0,-1,0,-1,-1,-1,-1,-1,1,100,100,0,0,0,0,960,960,18:20:00,20:00:00,12,3,3,120303,1203,0,,,,24,1,1,False,120303,Screen-Based,With Others
20100201101133,19,2889769.81492,3401301.697604,2697118.493926,4,6,1,6,0,3,0,2,0,5,0,1,1,0,-1,0,-1,-1,-1,-1,-1,1,30,30,0,0,0,0,712,712,15:22:00,15:52:00,12,3,3,120303,1203,0,,,,80,2,5,False,120303,Screen-Based,With Others
20100202100735,13,5142241.160431,27049239.592049,4713721.063728,1,5,1,5,0,3,0,5,1,4,2,2,3,0,-1,0,-1,-1,-1,-1,-1,1,150,150,0,0,0,0,1140,1140,20:30:00,23:00:00,12,3,3,120303,1203,0,,,,42,1,1,False,120303,Screen-Based,With Others
20101111100941,13,6460781.842633,7604435.528302,6137742.750501,5,4,1,4,2,4,3,1,2,3,3,2,1,0,-1,0,-1,-1,-1,-1,-1,1,120,120,0,0,0,0,750,750,14:30:00,16:30:00,12,3,3,120303,1203,0,,,,50,1,1,False,120303,Screen-Based,With Others
20130504130913,26,2006973.368731,2006973.368731,2006973.368731,4,5,2,4,0,2,0,1,0,3,4,5,1,0,0,0,0,-1,0,-1,0,1,30,30,1,0,0,0,1050,1050,21:00:00,21:30:00,12,3,12,120312,1203,0,-1.0,1.0,-1.0,25,2,5,False,120312,Non-Screen,With Others
20130201131665,14,7874249.211235,9068121.856927,7499284.96308,4,6,1,6,0,3,0,2,0,1,3,5,1,60,-1,60,-1,-1,-1,-1,-1,1,60,60,0,0,0,1,734,734,15:14:00,16:14:00,12,3,3,120303,1203,0,0.0,1.0,-1.0,54,2,5,True,120303,Screen-Based,Alone
20100201102510,11,10368242.768992,10368242.768992,10368242.768992,4,0,2,0,5,5,2,3,0,1,0,2,1,0,-1,0,-1,-1,-1,-1,-1,1,120,120,0,0,0,0,1030,1030,19:10:00,21:10:00,12,3,3,120303,1203,0,,,,63,1,5,True,120303,Screen-Based,Alone
20101210100674,13,973528.099208,1145856.932758,924851.694247,2,3,2,1,0,1,0,5,2,3,4,4,1,0,-1,0,-1,-1,-1,-1,-1,1,15,15,0,0,0,0,779,779,16:44:00,16:59:00,12,3,3,120303,1203,0,,,,40,1,1,False,120303,Screen-Based,With Others
20120504121996,5,2492026.040212,2388289.990637,2345436.273141,2,5,2,5,0,3,1,5,0,1,1,4,1,0,-1,0,-1,-1,-1,-1,-1,1,5,5,0,0,0,0,240,240,07:55:00,08:00:00,12,3,12,120312,1203,0,-1.0,1.0,-1.0,49,1,1,True,120312,Non-Screen,Alone
20131211131874,9,9344733.730475,9344733.730475,9344733.730475,3,3,2,2,3,2,0,5,0,4,1,1,1,0,-1,0,-1,-1,-1,-1,-1,1,60,60,0,0,0,0,455,455,10:35:00,11:35:00,12,3,12,120312,1203,0,-1.0,1.0,-1.0,85,1,5,True,120312,Non-Screen,Alone
20120707120130,8,26084347.636614,30640049.421009,24221179.948284,3,5,2,3,0,4,0,5,0,1,2,2,1,0,0,0,0,0,-1,-1,-1,1,120,120,0,0,0,0,595,595,11:55:00,13:55:00,12,3,3,120303,1203,0,0.0,1.0,-1.0,19,1,5,True,120303,Screen-Based,Alone
