"Title","Author","Rating"
"The Hunger Games (The Hunger Games, #1)","Suzanne Collins",4.35
"Pride and Prejudice","Jane Austen",4.3
"To Kill a Mockingbird","Harper Lee",4.26
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)","J.K. Rowling",4.5
"The Book Thief","Markus Zusak",4.39
"Twilight (The Twilight Saga, #1)","Stephenie Meyer",3.68
"Animal Farm","George Orwell",4.02
"J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings","J.R.R. Tolkien",4.62
"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)","C.S. Lewis",4.28
"The Fault in Our Stars","John Green",4.12
"The Picture of Dorian Gray","Oscar Wilde",4.14
"The Lightning Thief (Percy Jackson and the Olympians, #1)","Rick Riordan",4.31
"Wuthering Heights","Emily Brontë",3.9
"The Giving Tree","Shel Silverstein",4.39
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)","J.K. Rowling",4.5
"The Perks of Being a Wallflower","Stephen Chbosky",4.24
"Gone with the Wind","Margaret Mitchell",4.31
"The Little Prince","Antoine de Saint-Exupéry",4.33
"Jane Eyre","Charlotte Brontë",4.16
"The Great Gatsby","F. Scott Fitzgerald",3.93
"Crime and Punishment","Fyodor Dostoevsky",4.29
"The Da Vinci Code (Robert Langdon, #2)","Dan    Brown",3.94
"Alice’s Adventures in Wonderland / Through the Looking-Glass","Lewis Carroll",4.06
"Divergent (Divergent, #1)","Veronica Roth",4.13
"Les Misérables","Victor Hugo",4.21
"Memoirs of a Geisha","Arthur Golden",4.16
"Anne of Green Gables (Anne of Green Gables, #1)","L.M. Montgomery",4.33
"The Alchemist","Paulo Coelho",3.92
"Lord of the Flies","William Golding",3.7
"Romeo and Juliet","William Shakespeare",3.74
"Brave New World","Aldous Huxley",3.98
"The Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)","Douglas Adams",4.22
"City of Bones (The Mortal Instruments, #1)","Cassandra Clare",4.06
"The Help","Kathryn Stockett",4.47
"Dracula","Bram Stoker",4.02
"Fahrenheit 451","Ray Bradbury",3.97
"1984","George Orwell",4.2
"Charlotte’s Web","E.B. White",4.21
"Of Mice and Men","John Steinbeck",3.9
"Ender’s Game (Ender's Saga, #1)","Orson Scott Card",4.31
"The Catcher in the Rye","J.D. Salinger",3.8
"Little Women (Little Women, #1)","Louisa May Alcott",4.17
"One Hundred Years of Solitude","Gabriel García Márquez",4.12
"A Thousand Splendid Suns","Khaled Hosseini",4.46
"The Outsiders","S.E. Hinton",4.15
"The Secret Garden","Frances Hodgson Burnett",4.17
"The Princess Bride","William Goldman",4.27
"A Game of Thrones (A Song of Ice and Fire, #1)","George R.R. Martin",4.45
"The Time Traveler's Wife","Audrey Niffenegger",NA
"Harry Potter and the Deathly Hallows (Harry Potter, #7)","J.K. Rowling",4.62
"Frankenstein: The 1818 Text","Mary Wollstonecraft Shelley",3.91
"The Odyssey","Homer",3.83
"The Handmaid’s Tale (The Handmaid's Tale, #1)","Margaret Atwood",4.15
"A Wrinkle in Time (Time Quintet, #1)","Madeleine L'Engle",3.97
"The Giver (The Giver, #1)","Lois Lowry",4.12
"The Kite Runner","Khaled Hosseini",4.36
"The Girl With the Dragon Tattoo (Millennium, #1)","Stieg Larsson",4.18
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","J.K. Rowling",4.58
"Dune (Dune, #1)","Frank Herbert",4.29
"Where the Wild Things Are","Maurice Sendak",4.26
"Green Eggs and Ham","Dr. Seuss",4.32
"The Lovely Bones","Alice Sebold",3.86
"The Adventures of Huckleberry Finn (Adventures of Tom and Huck, #2)","Mark Twain",3.83
"Life of Pi","Yann Martel",3.94
"Lolita","Vladimir Nabokov",3.87
"A Tale of Two Cities","Charles Dickens",3.88
"Slaughterhouse-Five","Kurt Vonnegut Jr.",4.1
"The Bell Jar","Sylvia Plath",4.05
"Matilda","Roald Dahl",4.34
"Water for Elephants","Sara Gruen",4.11
"Harry Potter and the Philosopher's Stone (Harry Potter, #1)","J.K. Rowling",4.47
"The Stand","Stephen  King",4.35
"Catch-22","Joseph Heller",3.99
"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)","Arthur Conan Doyle",4.3
"The Pillars of the Earth (Kingsbridge, #1)","Ken Follett",4.35
"Rebecca","Daphne du Maurier",4.25
"Watership Down (Watership Down, #1)","Richard  Adams",4.09
"The Color Purple","Alice Walker",4.28
"Great Expectations","Charles Dickens",3.8
"A Clockwork Orange","Anthony Burgess",NA
"Outlander (Outlander, #1)","Diana Gabaldon",4.26
"Anna Karenina","Leo Tolstoy",4.1
"The Fellowship of the Ring (The Lord of the Rings, #1)","J.R.R. Tolkien",4.41
"One Flew Over the Cuckoo’s Nest","Ken Kesey",4.2
"The Brothers Karamazov","Fyodor Dostoevsky",4.39
"My Sister's Keeper","Jodi Picoult",4.11
"The Elephant Tree","R.D. Ronald",3.91
"To Kill a Mockingbird","Harper Lee",4.26
"A Tree Grows in Brooklyn","Betty  Smith",4.3
"The Road","Cormac McCarthy",NA
"The Zombie Room","R.D. Ronald",3.93
"Harry Potter and the Goblet of Fire (Harry Potter, #4)","J.K. Rowling",4.57
"The Golden Compass (His Dark Materials, #1)","Philip Pullman",4.03
"Siddhartha","Hermann Hesse",4.08
"Vampire Academy (Vampire Academy, #1)","Richelle Mead",4.1
"And Then There Were None","Agatha Christie",4.27
"Don Quixote","Miguel de Cervantes Saavedra",3.91
"Angela's Ashes (Frank McCourt, #1)","Frank McCourt",4.15
"Gone Girl","Gillian Flynn",4.15
"The Old Man and the Sea","Ernest Hemingway",3.81
